cri_rank,country,cri_score,fatality_rank,fatalities_per_100k_rank,losses_in_million_rank,loss_per_unit_gdp_percent_rank,year
130,Albania,118,106,106,130,130,2019
125,Algeria,105.17,65,95,122,127,2019
23,Angola,32.33,44,50,22,14,2019
130,Antigua and Barbuda,118,106,106,130,130,2019
55,Argentina,6000,60,86,28,50,2019
113,Armenia,98.17,90,62,125,125,2019
19,Australia,28,37,37,9,24,2019
47,Austria,56.83,84,79,25,37,2019
130,Azerbaijan,118,106,106,130,130,2019
130,Bahrain,118,106,106,130,130,2019
13,Bangladesh,23.5,7,29,20,28,2019
130,Barbados,118,106,106,130,130,2019
130,Belarus,118,106,106,130,130,2019
64,Belgium,66,84,85,36,53,2019
130,Belize,118,106,106,130,130,2019
130,Benin,118,106,106,130,130,2019
130,Bhutan,118,106,106,130,130,2019
10,Bolivia,19.67,43,15,27,9,2019
48,Bosnia and Herze- govina,57.83,98,82,45,20,2019
117,Botswana,99.83,106,106,107,87,2019
27,Brazil,33.67,5,32,17,58,2019
130,Brunei Darussalam,118,106,106,130,130,2019
119,Bulgaria,101,98,96,98,109,2019
130,Burkina Faso,118,106,106,130,130,2019
57,Burundi,61.83,26,10,121,102,2019
84,Cambodia,75.83,60,63,97,86,2019
68,Cameroon,67.33,32,27,104,107,2019
62,Canada,65.67,90,104,16,40,2019
130,Cape Verde,118,106,106,130,130,2019
70,Central African Repub- lie,67.5,98,92,89,17,2019
130,Chad,118,106,106,130,130,2019
25,Chile,33,52,59,12,8,2019
32,China,42.83,4,83,3,42,2019
116,Chinese Taipei,99.67,84,98,80,119,2019
28,Colombia,36.33,17,18,37,64,2019
16,Comoros,25.33,67,6,65,4,2019
130,Costa Rica,118,106,106,130,130,2019
129,Cote d'Ivoire,111.67,84,101,128,128,2019
81,Croatia,75.17,106,106,51,41,2019
130,Cyprus,118,106,106,130,130,2019
107,Czech Republic,92.83,106,106,63,88,2019
51,Democratic Republic of Congo,58.67,14,41,90,83,2019
130,Democratic Republic of Timor-Leste,118,106,106,130,130,2019
82,Denmark,75.5,72,49,75,104,2019
75,Djibouti,73,64,5,124,120,2019
88,Dominica,77.67,106,106,110,19,2019
130,Dominican Republic,118,106,106,130,130,2019
121,Ecuador,103.83,98,103,95,112,2019
120,Egypt,102,58,99,112,122,2019
103,El Salvador,91.83,80,67,111,113,2019
130,Eritrea,118,106,106,130,130,2019
83,Estonia,75.67,98,60,92,72,2019
130,Eswatini,118,106,106,130,130,2019
72,Ethiopia,69.33,39,74,67,81,2019
75,Fiji,73,90,23,118,92,2019
112,Finland,97.83,106,106,73,98,2019
40,France,52.5,41,68,18,60,2019
130,Gabon,118,106,106,130,130,2019
108,Georgia,93.17,106,106,91,75,2019
56,Germany,61.33,65,102,11,44,2019
42,Ghana,53.33,29,30,71,80,2019
36,Greece,45,50,34,44,54,2019
130,Grenada,118,106,106,130,130,2019
62,Guatemala,65.67,60,66,66,68,2019
115,Guinea,99.17,72,72,127,126,2019
130,Guinea-Bissau,118,106,106,130,130,2019
130,Guyana,118,106,106,130,130,2019
50,Haiti,58.33,60,51,94,47,2019
79,Honduras,73.33,90,93,72,46,2019
97,Hungary,85.83,106,106,55,71,2019
100,Iceland,88.83,106,106,101,57,2019
7,India,16.67,1,36,1,13,2019
14,Indonesia,24.83,3,31,6,39,2019
94,Iraq,84.33,56,77,76,110,2019
123,Ireland,104.5,106,106,81,114,2019
6,Islamic Republic of Af- ghanistan,16,11,11,33,15,2019
18,Islamic Republic of Iran,27,22,45,8,21,2019
128,Israel,108.83,90,88,129,129,2019
35,Italy,43.5,46,70,7,34,2019
130,Jamaica,118,106,106,130,130,2019
4,Japan,14.5,9,20,2,18,2019
130,Jordan,118,106,106,130,130,2019
130,Kazakhstan,118,106,106,130,130,2019
25,Kenya,33,15,16,49,51,2019
130,Kiribati,118,106,106,130,130,2019
60,"Korea, Republic of",64,52,81,24,73,2019
130,Kosovo,118,106,106,130,130,2019
130,Kuwait,118,106,106,130,130,2019
130,Kyrgyz Republic,118,106,106,130,130,2019
45,Lao People's Demo- cratic Republic,55.17,57,28,86,66,2019
98,Latvia,86.83,106,106,79,62,2019
44,Lebanon,54.67,72,55,60,43,2019
61,Lesotho,64.67,106,106,58,6,2019
101,Liberia,89.5,106,106,109,55,2019
80,Libya,73.67,67,48,93,93,2019
130,Lithuania,118,106,106,130,130,2019
74,Luxembourg,72.83,106,106,53,33,2019
29,Madagascar,40.33,19,14,83,56,2019
5,Malawi,15.17,20,13,35,5,2019
99,Malaysia,87.33,58,78,74,118,2019
111,Maldives,97.33,106,106,114,76,2019
90,Mali,79.67,52,58,108,101,2019
68,Malta,67.33,106,106,54,16,2019
130,Marshall Islands,118,106,106,130,130,2019
58,Mauritania,63,76,44,96,59,2019
125,Mauritius,105.17,106,106,113,100,2019
54,Mexico,59.5,31,73,26,77,2019
130,Micronesia,118,106,106,130,130,2019
130,Moldova,118,106,106,130,130,2019
22,Mongolia,31.67,50,9,62,30,2019
89,Montenegro,78,80,8,126,123,2019
90,Morocco,79.67,35,42,117,121,2019
1,Mozambique,2.67,2,3,4,2,2019
21,Myanmar,31.33,24,38,30,29,2019
113,Namibia,98.17,98,75,119,111,2019
12,Nepal,20,10,7,42,27,2019
109,Netherlands,97.17,106,106,59,103,2019
66,New Zealand,66.33,90,76,52,52,2019
49,Nicaragua,58,72,52,82,45,2019
9,Niger,18.17,17,12,46,11,2019
73,Nigeria,70,27,84,47,89,2019
130,North Macedonia,118,106,106,130,130,2019
106,Norway,92.33,98,94,70,99,2019
95,Oman,84.67,67,35,123,124,2019
15,Pakistan,25,8,39,14,25,2019
127,Panama,108.33,106,106,102,115,2019
51,Papua New Guinea,58.67,49,17,105,82,2019
20,Paraguay,30,52,22,38,23,2019
46,Peru,56.33,37,43,57,79,2019
17,Philippines,26.67,13,40,15,26,2019
93,Poland,80,76,97,40,85,2019
37,Portugal,48.33,67,61,29,36,2019
130,Puerto Rico,118,106,106,130,130,2019
130,Qatar,118,106,106,130,130,2019
109,Republic of Congo,97.17,98,89,115,96,2019
53,Republic of Yemen,59.33,42,46,84,69,2019
123,Romania,104.5,106,106,77,116,2019
39,Russia,50.67,33,80,13,49,2019
42,Rwanda,53.33,45,21,99,67,2019
130,Samoa,118,106,106,130,130,2019
75,Saudi Arabia,73,48,65,50,105,2019
70,Senegal,67.5,106,106,43,22,2019
105,Serbia,92,106,106,78,78,2019
130,Seychelles,118,106,106,130,130,2019
86,Sierra Leone,76.5,67,54,116,84,2019
130,Singapore,118,106,106,130,130,2019
87,Slovak Republic,77.17,76,53,87,97,2019
103,Slovenia,91.83,106,106,85,74,2019
130,Solomon Islands,118,106,106,130,130,2019
24,South Africa,32.5,16,26,31,48,2019
8,South Sudan,17.33,12,4,64,10,2019
32,Spain,42.83,47,69,10,31,2019
30,Sri Lanka,41.83,33,24,48,61,2019
130,St. Kitts and Nevis,118,106,106,130,130,2019
130,St. Lucia,118,106,106,130,130,2019
130,St. Vincent and the Grenadines,118,106,106,130,130,2019
11,Sudan,19.83,22,25,23,12,2019
130,Suriname,118,106,106,130,130,2019
118,Sweden,100.5,106,106,69,108,2019
96,Switzerland,85.5,90,87,61,94,2019
122,Tajikistan,104.33,90,91,120,117,2019
67,Tanzania,66.5,27,47,88,95,2019
34,Thailand,43.17,36,64,19,38,2019
3,The Bahamas,6.5,30,1,5,1,2019
41,The Gambia,53.17,80,33,103,35,2019
130,Togo,118,106,106,130,130,2019
130,Tonga,118,106,106,130,130,2019
130,Trinidad and Tobago,118,106,106,130,130,2019
130,Tunisia,118,106,106,130,130,2019
64,Turkey,66,40,71,34,90,2019
130,Tuvalu,118,106,106,130,130,2019
31,Uganda,42.17,21,19,68,63,2019
85,Ukraine,76.17,76,100,41,70,2019
130,United Arab Emirates,118,106,106,130,130,2019
102,United Kingdom,90.83,84,105,39,106,2019
90,Uruguay,79.67,84,56,100,91,2019
130,Uzbekistan,118,106,106,130,130,2019
75,Vanuatu,7300,106,106,106,7,2019
130,Venezuela,118,106,106,130,130,2019
38,Vietnam,50.17,25,57,32,65,2019
59,Zambia,63.33,80,90,56,32,2019
2,Zimbabwe,6.17,6,2,21,3,2019
125,Albania,108,102,87,124,124,2018
109,Algeria,93.83,47,76,110,127,2018
80,Angola,76,52,72,82,89,2018
135,Antigua and Barbuda,125,115,115,135,135,2018
40,Argentina,48.33,61,101,5,11,2018
135,Armenia,125,115,115,135,135,2018
43,Australia,49.5,62,86,11,26,2018
49,Austria,56,88,89,20,25,2018
135,Azerbaijan,125,115,115,135,135,2018
135,Bahrain,125,115,115,135,135,2018
98,Bangladesh,85.5,18,79,97,120,2018
135,Barbados,125,115,115,135,135,2018
130,Belarus,111.83,115,115,102,112,2018
90,Belgium,81.83,102,112,39,63,2018
135,Belize,125,115,115,135,135,2018
101,Benin,88,77,77,109,94,2018
135,Bhutan,125,115,115,135,135,2018
59,Bolivia,63.5,71,66,62,58,2018
129,Bosnia and Herzegovina,109.67,115,115,113,100,2018
135,Botswana,125,115,115,135,135,2018
91,Brazil,82.83,38,105,43,103,2018
135,Brunei Darussalam,125,115,115,135,135,2018
116,Bulgaria,101,115,115,85,88,2018
135,Burkina Faso,125,115,115,135,135,2018
25,Burundi,36.33,50,32,72,16,2018
38,Cambodia,47.67,29,17,79,72,2018
122,Cameroon,105.83,64,91,129,130,2018
9,Canada,21.83,13,19,12,34,2018
135,Cape Verde,125,115,115,135,135,2018
73,Central African Republic,71.17,77,51,116,66,2018
135,Chad,125,115,115,135,135,2018
87,Chile,81.17,115,115,36,53,2018
33,China,45.17,5,94,4,37,2018
75,Chinese Taipei,72.33,53,65,55,98,2018
53,Colombia,61,20,39,70,99,2018
135,Comoros,125,115,115,135,135,2018
96,Costa Rica,84.67,93,82,87,82,2018
106,Cote d'Ivoire,89.5,46,55,125,128,2018
126,Croatia,108.33,115,115,101,102,2018
76,Cyprus,73.5,81,13,120,107,2018
35,Czech Republic,46.83,71,63,28,28,2018
68,Democratic Republic of Congo,69.83,24,69,91,83,2018
135,Democratic Republic of Ti- mor-Leste,125,115,115,135,135,2018
55,Denmark,61.33,93,88,33,33,2018
31,Djibouti,44.67,93,27,81,20,2018
135,Dominica,125,115,115,135,135,2018
99,Dominican Republic,86.5,81,84,84,93,2018
112,Ecuador,97,62,73,122,126,2018
131,Egypt,113.67,115,115,93,122,2018
30,El Salvador,44.33,71,49,49,24,2018
135,Eritrea,125,115,115,135,135,2018
108,Estonia,90.5,115,115,76,61,2018
111,Eswatini,96.67,102,54,128,121,2018
57,Ethiopia,62.83,26,70,63,74,2018
10,Fiji,22.5,64,6,47,6,2018
135,Finland,125,115,115,135,135,2018
34,France,46.17,32,62,13,54,2018
135,Gabon,125,115,115,135,135,2018
113,Georgia,97.83,115,115,92,75,2018
3,Germany,13.83,3,1,6,36,2018
65,Ghana,68.33,22,24,108,116,2018
11,Greece,23.67,14,4,38,41,2018
70,Grenada,70.5,102,5,127,92,2018
83,Guatemala,77.33,102,113,46,45,2018
135,Guinea,125,115,115,135,135,2018
37,Guinea-Bissau,47.5,55,7,112,52,2018
135,Guyana,125,115,115,135,135,2018
104,Haiti,88.67,81,85,111,85,2018
45,Honduras,51.67,48,25,78,67,2018
123,Hungary,107.17,81,81,134,133,2018
135,Iceland,125,115,115,135,135,2018
5,India,18.17,1,34,2,19,2018
64,Indonesia,68.17,11,74,42,104,2018
66,Iraq,68.5,41,58,64,95,2018
81,Ireland,76.5,93,80,54,76,2018
24,"Islamic Republic of Afghani-
 stan",36,15,21,61,49,2018
60,Islamic Republic of Iran,64.83,48,100,21,60,2018
106,Israel,89.5,60,41,131,132,2018
21,Italy,33.67,28,56,8,27,2018
128,Jamaica,109.5,115,115,118,97,2018
1,Japan,5.5,2,2,3,12,2018
50,Jordan,56.33,38,16,94,87,2018
115,Kazakhstan,98.5,115,115,66,90,2018
7,Kenya,19.67,12,23,26,17,2018
135,Kiribati,125,115,115,135,135,2018
81,"Korea, Republic of",76.5,34,57,75,118,2018
135,Kosovo,125,115,115,135,135,2018
57,Kuwait,62.83,102,102,25,23,2018
134,Kyrgyz Republic,117.5,102,106,133,129,2018
22,Lao People's Democratic Re- public,35.5,26,8,69,51,2018
44,Latvia,50,102,75,32,8,2018
62,Lebanon,67.17,50,18,105,106,2018
56,Lesotho,61.5,58,11,121,84,2018
135,Liberia,125,115,115,135,135,2018
135,Libya,125,115,115,135,135,2018
19,Lithuania,29.33,77,28,23,10,2018
95,Luxembourg,84.33,115,115,65,48,2018
4,Madagascar,15.83,17,20,30,4,2018
93,Malawi,83.67,77,96,95,69,2018
97,Malaysia,84.83,45,61,96,123,2018
118,Maldives,103.33,115,115,119,78,2018
135,Mali,125,115,115,135,135,2018
135,Malta,125,115,115,135,135,2018
135,Marshall Islands,125,115,115,135,135,2018
116,Mauritania,101,115,115,107,77,2018
84,Mauritius,78.83,115,115,68,30,2018
26,Mexico,37.67,10,44,14,57,2018
135,Micronesia,125,115,115,135,135,2018
135,Moldova,125,115,115,135,135,2018
17,Mongolia,26.67,64,22,34,9,2018
114,Montenegro,98.17,115,115,104,70,2018
135,Morocco,125,115,115,135,135,2018
54,Mozambique,61.17,56,78,71,42,2018
48,Myanmar,53.83,20,43,59,79,2018
85,Namibia,79.17,88,40,115,96,2018
20,Nepal,29.67,8,10,56,47,2018
62,Netherlands,67.17,81,99,24,50,2018
46,New Zealand,53.17,88,68,37,29,2018
52,Nicaragua,60.17,64,42,83,65,2018
27,Niger,39.67,31,26,77,39,2018
18,Nigeria,28.83,7,31,16,44,2018
135,North Macedonia,125,115,115,135,135,2018
94,Norway,84,102,104,48,73,2018
13,Oman,24.33,71,30,9,3,2018
100,Pakistan,87.83,19,90,90,119,2018
92,Panama,83.33,75,37,117,117,2018
135,Papua New Guinea,125,115,115,135,135,2018
127,Paraguay,109.33,102,107,114,113,2018
110,Peru,94,64,97,86,110,2018
2,Philippines,11.17,4,14,7,14,2018
41,Poland,49,42,60,22,55,2018
72,Portugal,70.67,88,92,40,56,2018
124,Puerto Rico,107.67,115,115,99,101,2018
135,Qatar,125,115,115,135,135,2018
135,Republic of Congo,125,115,115,135,135,2018
28,Republic of Yemen,41.33,35,38,57,40,2018
89,Romania,81.67,58,67,80,109,2018
79,Russia,75.5,44,103,31,86,2018
8,Rwanda,21.17,16,9,51,21,2018
70,Samoa,70.5,115,115,74,2,2018
103,Saudi Arabia,88.5,37,48,130,134,2018
120,Senegal,104.5,115,115,100,91,2018
61,Serbia,65.5,93,93,44,35,2018
135,Seychelles,125,115,115,135,135,2018
135,Sierra Leone,125,115,115,135,135,2018
135,Singapore,125,115,115,135,135,2018
102,Slovak Republic,88.33,64,36,132,131,2018
51,Slovenia,57.83,93,52,58,46,2018
29,Solomon Islands,43.17,88,12,103,22,2018
47,South Africa,53.33,53,95,15,31,2018
133,South Sudan,116,115,115,123,114,2018
38,Spain,47.67,33,53,19,64,2018
6,Sri Lanka,19,36,29,10,5,2018
135,St. Kitts and Nevis,125,115,115,135,135,2018
135,St. Lucia,125,115,115,135,135,2018
135,St. Vincent and the Grena- dines,125,115,115,135,135,2018
42,Sudan,49.33,30,45,52,62,2018
135,Suriname,125,115,115,135,135,2018
105,Sweden,89,102,111,50,80,2018
77,Switzerland,73.67,93,98,35,59,2018
73,Tajikistan,71.17,75,64,88,68,2018
68,Tanzania,69.83,42,71,73,81,2018
67,Thailand,68.83,25,59,60,105,2018
135,The Bahamas,125,115,115,135,135,2018
135,The Gambia,125,115,115,135,135,2018
135,Togo,125,115,115,135,135,2018
15,Tonga,25.17,102,3,41,1,2018
88,Trinidad and Tobago,81.33,115,115,67,38,2018
35,Tunisia,46.83,56,47,45,43,2018
85,Turkey,79.17,40,83,53,108,2018
135,Tuvalu,125,115,115,135,135,2018
14,Uganda,24.67,23,35,29,13,2018
121,Ukraine,105.33,93,114,89,111,2018
135,United Arab Emirates,125,115,115,135,135,2018
78,United Kingdom,73.83,64,110,17,71,2018
12,United States,23.83,6,50,1,18,2018
23,Uruguay,35.67,81,46,27,7,2018
135,Uzbekistan,125,115,115,135,135,2018
31,Vanuatu,44.67,102,15,106,15,2018
119,Venezuela,104.17,81,108,98,115,2018
16,Vietnam,26.17,9,33,18,32,2018
135,Zambia,125,115,115,135,135,2018
132,Zimbabwe,114.5,93,109,126,125,2018